Force [N],Pressure [kPa],Position [mm]
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
8.957,28.511,0.913
8.957,28.511,0.913
8.957,28.511,0.913
8.957,28.511,0.913
8.957,28.511,0.913
8.957,28.511,0.913
6.583,20.954,0.671
6.583,20.954,0.671
6.583,20.954,0.671
6.583,20.954,0.671
6.583,20.954,0.671
6.583,20.954,0.671
2.786,8.868,0.284
2.786,8.868,0.284
2.786,8.868,0.284
2.786,8.868,0.284
2.786,8.868,0.284
2.786,8.868,0.284
2.786,8.868,0.284
1.609,5.122,0.164
1.609,5.122,0.164
1.609,5.122,0.164
1.609,5.122,0.164
1.609,5.122,0.164
1.609,5.122,0.164
8.034,25.573,0.819
8.034,25.573,0.819
8.034,25.573,0.819
8.034,25.573,0.819
8.034,25.573,0.819
8.034,25.573,0.819
8.034,25.573,0.819
7.76,24.701,0.791
7.76,24.701,0.791
7.76,24.701,0.791
7.76,24.701,0.791
7.76,24.701,0.791
7.76,24.701,0.791
7.151,22.762,0.729
7.151,22.762,0.729
7.151,22.762,0.729
7.151,22.762,0.729
7.151,22.762,0.729
7.151,22.762,0.729
7.151,22.762,0.729
2.747,8.744,0.28
2.747,8.744,0.28
2.747,8.744,0.28
2.747,8.744,0.28
2.747,8.744,0.28
2.747,8.744,0.28
4.827,15.365,0.492
4.827,15.365,0.492
4.827,15.365,0.492
4.827,15.365,0.492
4.827,15.365,0.492
4.827,15.365,0.492
4.827,15.365,0.492
3.973,12.646,0.405
3.973,12.646,0.405
3.973,12.646,0.405
3.973,12.646,0.405
3.973,12.646,0.405
3.973,12.646,0.405
1.805,5.745,0.184
1.805,5.745,0.184
1.805,5.745,0.184
1.805,5.745,0.184
1.805,5.745,0.184
1.805,5.745,0.184
1.805,5.745,0.184
7.809,24.857,0.796
7.809,24.857,0.796
7.809,24.857,0.796
7.809,24.857,0.796
7.809,24.857,0.796
7.809,24.857,0.796
3.306,10.523,0.337
3.306,10.523,0.337
3.306,10.523,0.337
3.306,10.523,0.337
3.306,10.523,0.337
3.306,10.523,0.337
3.306,10.523,0.337
2.757,8.776,0.281
2.757,8.776,0.281
2.757,8.776,0.281
2.757,8.776,0.281
2.757,8.776,0.281
2.757,8.776,0.281
3.806,12.115,0.388
3.806,12.115,0.388
3.806,12.115,0.388
3.806,12.115,0.388
3.806,12.115,0.388
3.806,12.115,0.388
3.806,12.115,0.388
3.002,9.556,0.306
3.002,9.556,0.306
3.002,9.556,0.306
3.002,9.556,0.306
3.002,9.556,0.306
3.002,9.556,0.306
4.728,15.05,0.482
4.728,15.05,0.482
4.728,15.05,0.482
4.728,15.05,0.482
4.728,15.05,0.482
4.728,15.05,0.482
4.728,15.05,0.482
4.591,14.614,0.468
4.591,14.614,0.468
4.591,14.614,0.468
4.591,14.614,0.468
4.591,14.614,0.468
4.591,14.614,0.468
8.584,27.324,0.875
8.584,27.324,0.875
8.584,27.324,0.875
8.584,27.324,0.875
8.584,27.324,0.875
8.584,27.324,0.875
8.584,27.324,0.875
6.151,19.579,0.627
6.151,19.579,0.627
6.151,19.579,0.627
6.151,19.579,0.627
6.151,19.579,0.627
6.151,19.579,0.627
3.983,12.678,0.406
3.983,12.678,0.406
3.983,12.678,0.406
3.983,12.678,0.406
3.983,12.678,0.406
3.983,12.678,0.406
3.983,12.678,0.406
1.05,3.342,0.107
1.05,3.342,0.107
1.05,3.342,0.107
1.05,3.342,0.107
1.05,3.342,0.107
1.05,3.342,0.107
5.16,16.425,0.526
5.16,16.425,0.526
5.16,16.425,0.526
5.16,16.425,0.526
5.16,16.425,0.526
5.16,16.425,0.526
5.16,16.425,0.526
2.57,8.181,0.262
2.57,8.181,0.262
2.57,8.181,0.262
2.57,8.181,0.262
2.57,8.181,0.262
2.57,8.181,0.262
6.494,20.671,0.662
6.494,20.671,0.662
6.494,20.671,0.662
6.494,20.671,0.662
6.494,20.671,0.662
6.494,20.671,0.662
6.494,20.671,0.662
8.368,26.636,0.853
8.368,26.636,0.853
8.368,26.636,0.853
8.368,26.636,0.853
8.368,26.636,0.853
8.368,26.636,0.853
0.598,1.903,0.061
0.598,1.903,0.061
0.598,1.903,0.061
0.598,1.903,0.061
0.598,1.903,0.061
0.598,1.903,0.061
0.598,1.903,0.061
2.364,7.525,0.241
2.364,7.525,0.241
2.364,7.525,0.241
2.364,7.525,0.241
2.364,7.525,0.241
2.364,7.525,0.241
7.887,25.105,0.804
7.887,25.105,0.804
7.887,25.105,0.804
7.887,25.105,0.804
7.887,25.105,0.804
7.887,25.105,0.804
7.887,25.105,0.804
4.326,13.77,0.441
4.326,13.77,0.441
4.326,13.77,0.441
4.326,13.77,0.441
4.326,13.77,0.441
4.326,13.77,0.441
9.055,28.823,0.923
9.055,28.823,0.923
9.055,28.823,0.923
9.055,28.823,0.923
9.055,28.823,0.923
9.055,28.823,0.923
9.055,28.823,0.923
4.601,14.645,0.469
4.601,14.645,0.469
4.601,14.645,0.469
4.601,14.645,0.469
4.601,14.645,0.469
4.601,14.645,0.469
9.712,30.914,0.99
9.712,30.914,0.99
9.712,30.914,0.99
9.712,30.914,0.99
9.712,30.914,0.99
9.712,30.914,0.99
9.712,30.914,0.99
1.491,4.746,0.152
1.491,4.746,0.152
1.491,4.746,0.152
1.491,4.746,0.152
1.491,4.746,0.152
1.491,4.746,0.152
9.81,31.226,1.0
9.81,31.226,1.0
9.81,31.226,1.0
9.81,31.226,1.0
9.81,31.226,1.0
9.81,31.226,1.0
9.81,31.226,1.0
3.247,10.336,0.331
3.247,10.336,0.331
3.247,10.336,0.331
3.247,10.336,0.331
3.247,10.336,0.331
3.247,10.336,0.331
4.768,15.177,0.486
4.768,15.177,0.486
4.768,15.177,0.486
4.768,15.177,0.486
