data_set,load_kg,position_mm,timestamp,mass_g,pressure_kpa,density
1,-47.459,0.0,2021-06-20 02:28:50.564594,0.0,,
1,-47.463,0.0,2021-06-20 02:28:50.627694,0.0,,
1,-47.459,0.0,2021-06-20 02:28:50.680914,0.0,,
1,-47.462,0.0,2021-06-20 02:28:50.747069,0.0,,
1,-47.462,0.0,2021-06-20 02:28:50.798583,0.0,,
1,-47.461,0.0,2021-06-20 02:28:50.840514,0.0,,
1,-47.463,0.0,2021-06-20 02:28:50.903894,0.0,,
1,-47.46,0.0,2021-06-20 02:28:50.966567,0.0,,
1,-47.461,0.0,2021-06-20 02:28:51.020112,0.0,,
1,-47.464,0.0,2021-06-20 02:28:51.085657,0.0,,
1,-47.463,0.0,2021-06-20 02:28:51.138181,0.0,,
1,-47.465,0.0,2021-06-20 02:28:51.199566,0.0,,
1,-47.465,0.0,2021-06-20 02:28:51.251971,0.0,,
1,-47.464,0.0,2021-06-20 02:28:51.314916,0.0,,
1,-47.463,0.0,2021-06-20 02:28:51.367313,0.0,,
1,-47.462,0.0,2021-06-20 02:28:51.429726,0.0,,
1,-47.466,0.0,2021-06-20 02:28:51.506139,0.0,,
1,-47.465,0.0,2021-06-20 02:28:51.558153,0.0,,
1,-47.464,0.0,2021-06-20 02:28:51.620599,0.0,,
1,-47.463,0.0,2021-06-20 02:28:51.673163,0.0,,
1,-50.998,0.0,2021-06-20 02:28:51.827059,0.0,,
1,-47.46,0.0,2021-06-20 02:28:51.883774,0.0,,
1,-47.457,0.0,2021-06-20 02:28:51.946934,0.0,,
1,-47.46,0.0,2021-06-20 02:28:51.997531,0.0,,
1,-47.456,0.0,2021-06-20 02:28:52.089897,0.0,,
1,-47.46,0.0,2021-06-20 02:28:52.115332,0.0,,
1,-47.463,0.0,2021-06-20 02:28:52.175665,0.0,,
1,-47.463,0.0,2021-06-20 02:28:52.237343,0.0,,
1,-47.462,0.0,2021-06-20 02:28:52.289012,0.0,,
1,-47.464,0.0,2021-06-20 02:28:52.350911,0.0,,
1,-47.462,0.0,2021-06-20 02:28:52.412736,0.0,,
1,-47.464,0.0,2021-06-20 02:28:52.467129,0.0,,
1,-47.46,0.0,2021-06-20 02:28:52.527768,0.0,,
1,-47.464,0.0,2021-06-20 02:28:52.579033,0.0,,
1,-47.458,0.0,2021-06-20 02:28:52.650163,0.0,,
1,-47.46,0.0,2021-06-20 02:28:52.712346,0.0,,
1,-47.46,0.0,2021-06-20 02:28:52.774983,0.0,,
1,-47.458,0.0,2021-06-20 02:28:52.828195,0.0,,
1,-47.458,0.0,2021-06-20 02:28:52.890511,0.0,,
1,-47.456,0.0,2021-06-20 02:28:52.952810,0.0,,
1,-47.458,0.0,2021-06-20 02:28:52.999655,0.0,,
1,-47.459,0.0,2021-06-20 02:28:53.062618,0.0,,
1,-47.46,0.0,2021-06-20 02:28:53.130156,0.0,,
1,-47.46,0.0,2021-06-20 02:28:53.182065,0.0,,
1,-47.459,0.0,2021-06-20 02:28:53.248117,0.0,,
1,-47.459,0.0,2021-06-20 02:28:53.307829,0.0,,
1,-47.457,0.0,2021-06-20 02:28:53.380285,0.0,,
1,-47.457,0.0,2021-06-20 02:28:53.437767,0.0,,
1,-47.459,0.0,2021-06-20 02:28:53.490140,0.0,,
1,-47.459,0.0,2021-06-20 02:28:53.553342,0.0,,
1,-47.457,0.0,2021-06-20 02:28:53.616737,0.0,,
1,-47.456,0.0,2021-06-20 02:28:53.669959,0.0,,
1,-47.46,0.0,2021-06-20 02:28:53.743221,0.0,,
1,-47.46,0.0,2021-06-20 02:28:53.790194,0.0,,
1,-47.458,0.0,2021-06-20 02:28:53.841601,0.0,,
1,-47.457,0.0,2021-06-20 02:28:53.904984,0.0,,
1,-47.459,0.0,2021-06-20 02:28:53.957833,0.0,,
1,-47.461,0.0,2021-06-20 02:28:54.021239,0.0,,
1,-47.46,0.0,2021-06-20 02:28:54.087014,0.0,,
1,-47.462,0.0,2021-06-20 02:28:54.139032,0.0,,
1,-47.464,0.0,2021-06-20 02:28:54.204544,0.0,,
1,-47.459,0.0,2021-06-20 02:28:54.253297,0.0,,
1,-47.461,0.0,2021-06-20 02:28:54.315798,0.0,,
1,-47.458,0.0,2021-06-20 02:28:54.368367,0.0,,
1,-47.46,0.0,2021-06-20 02:28:54.431151,0.0,,
1,-47.462,0.0,2021-06-20 02:28:54.488193,0.0,,
1,-47.457,0.0,2021-06-20 02:28:54.548993,0.0,,
1,-47.462,0.0,2021-06-20 02:28:54.601379,0.0,,
1,-47.463,0.0,2021-06-20 02:28:54.664041,0.0,,
1,-47.464,0.0,2021-06-20 02:28:54.727008,0.0,,
1,-47.461,0.0,2021-06-20 02:28:54.769486,0.0,,
1,-47.466,0.0,2021-06-20 02:28:54.822684,0.0,,
1,-47.466,0.0,2021-06-20 02:28:54.900914,0.0,,
1,-47.46,0.0,2021-06-20 02:28:54.942976,0.0,,
1,-47.464,0.0,2021-06-20 02:28:55.012149,0.0,,
1,-47.467,0.0,2021-06-20 02:28:55.085462,0.0,,
1,-47.464,0.0,2021-06-20 02:28:55.119665,0.0,,
1,-47.464,0.0,2021-06-20 02:28:55.182059,0.0,,
1,-47.464,0.0,2021-06-20 02:28:55.235531,0.0,,
1,-47.464,0.0,2021-06-20 02:28:55.300311,0.0,,
1,-47.462,0.0,2021-06-20 02:28:55.362525,0.0,,
1,-47.46,0.0,2021-06-20 02:28:55.423974,0.0,,
1,-47.461,0.0,2021-06-20 02:28:55.476308,0.0,,
1,-47.461,0.0,2021-06-20 02:28:55.539112,0.0,,
1,-47.459,0.0,2021-06-20 02:28:55.601868,0.0,,
1,-47.464,0.0,2021-06-20 02:28:55.661489,0.0,,
1,-47.462,0.0,2021-06-20 02:28:55.719901,0.0,,
1,-47.465,0.0,2021-06-20 02:28:55.772702,0.0,,
