data_set,load_kg,position_mm,timestamp,mass_g,pressure_kpa,density
1,-0.024,0.0,2021-06-21 23:39:15.954171,0.0,,
1,-0.025,0.0,2021-06-21 23:39:16.016860,0.0,,
1,-0.022,0.0,2021-06-21 23:39:16.082809,0.0,,
1,-0.025,0.0,2021-06-21 23:39:16.124822,0.0,,
1,-0.021,0.0,2021-06-21 23:39:16.185765,0.0,,
1,-0.022,0.0,2021-06-21 23:39:16.237613,0.0,,
1,-0.023,0.0,2021-06-21 23:39:16.301673,0.0,,
1,-0.018,0.0,2021-06-21 23:39:16.355827,0.0,,
1,-0.022,0.0,2021-06-21 23:39:16.418794,0.0,,
1,-0.022,0.0,2021-06-21 23:39:16.472115,0.0,,
1,-0.022,0.0,2021-06-21 23:39:16.536037,0.0,,
1,-0.022,0.0,2021-06-21 23:39:16.588411,0.0,,
1,-0.023,0.0,2021-06-21 23:39:16.650828,0.0,,
1,-0.016,0.0,2021-06-21 23:39:16.702924,0.0,,
1,-0.02,0.0,2021-06-21 23:39:16.766511,0.0,,
1,-0.019,0.0,2021-06-21 23:39:16.859278,0.0,,
1,-0.019,0.0,2021-06-21 23:39:16.898260,0.0,,
1,-7.01,0.0,2021-06-21 23:39:17.038872,0.0,,
1,-0.016,0.0,2021-06-21 23:39:17.104087,0.0,,
1,-0.02,0.0,2021-06-21 23:39:17.162194,0.0,,
1,-0.017,0.0,2021-06-21 23:39:17.213865,0.0,,
1,-0.018,0.0,2021-06-21 23:39:17.275563,0.0,,
1,-0.02,0.0,2021-06-21 23:39:17.337297,0.0,,
1,-0.02,0.0,2021-06-21 23:39:17.388852,0.0,,
1,-0.028,0.0,2021-06-21 23:39:17.440783,0.0,,
1,-0.03,0.0,2021-06-21 23:39:17.483226,0.0,,
1,-0.03,0.0,2021-06-21 23:39:17.544704,0.0,,
1,-0.025,0.0,2021-06-21 23:39:17.609972,0.0,,
1,-0.027,0.0,2021-06-21 23:39:17.660375,0.0,,
1,-0.022,0.0,2021-06-21 23:39:17.723162,0.0,,
1,-0.024,0.0,2021-06-21 23:39:17.775834,0.0,,
1,-0.021,0.0,2021-06-21 23:39:17.839058,0.0,,
1,-0.025,0.0,2021-06-21 23:39:17.891716,0.0,,
1,-0.025,0.0,2021-06-21 23:39:17.957793,0.0,,
1,-0.024,0.0,2021-06-21 23:39:18.010380,0.0,,
1,-0.025,0.0,2021-06-21 23:39:18.071884,0.0,,
1,-0.024,0.0,2021-06-21 23:39:18.125232,0.0,,
1,-0.03,0.0,2021-06-21 23:39:18.188269,0.0,,
1,-0.028,0.0,2021-06-21 23:39:18.243768,0.0,,
1,-0.024,0.0,2021-06-21 23:39:18.294606,0.0,,
1,-0.022,0.0,2021-06-21 23:39:18.349753,0.0,,
1,-0.021,0.0,2021-06-21 23:39:18.411213,0.0,,
1,-0.02,0.0,2021-06-21 23:39:18.463242,0.0,,
1,-0.023,0.0,2021-06-21 23:39:18.525660,0.0,,
1,-0.019,0.0,2021-06-21 23:39:18.592985,0.0,,
1,-0.018,0.0,2021-06-21 23:39:18.640849,0.0,,
1,-0.022,0.0,2021-06-21 23:39:18.714653,0.0,,
1,-0.016,0.0,2021-06-21 23:39:18.769242,0.0,,
1,-0.019,0.0,2021-06-21 23:39:18.820620,0.0,,
1,-0.02,0.0,2021-06-21 23:39:18.872901,0.0,,
1,-0.022,0.0,2021-06-21 23:39:18.996338,0.0,,
1,-0.023,0.0,2021-06-21 23:39:19.049633,0.0,,
1,-0.019,0.0,2021-06-21 23:39:19.113030,0.0,,
1,-0.021,0.0,2021-06-21 23:39:19.181584,0.0,,
1,-0.02,0.0,2021-06-21 23:39:19.231545,0.0,,
1,-0.02,0.0,2021-06-21 23:39:19.281807,0.0,,
1,-0.02,0.0,2021-06-21 23:39:19.344345,0.0,,
1,-0.022,0.0,2021-06-21 23:39:19.408238,0.0,,
1,-0.024,0.0,2021-06-21 23:39:19.600847,0.0,,
1,-0.024,0.0,2021-06-21 23:39:19.644377,0.0,,
1,-0.024,0.0,2021-06-21 23:39:19.720417,0.0,,
1,-0.024,-0.0034375,2021-06-21 23:39:19.779911,0.0,,
1,-0.027,-0.00734375,2021-06-21 23:39:19.799164,0.0,,
1,-0.11,-0.01296875,2021-06-21 23:39:19.818178,0.0,,
1,-0.123,-0.0178125,2021-06-21 23:39:19.837271,0.0,,
1,-0.126,-0.02125,2021-06-21 23:39:19.861309,0.0,,
1,-0.124,-0.0253125,2021-06-21 23:39:19.908587,0.0,,
1,-0.122,-0.030234375,2021-06-21 23:39:19.968590,0.0,,
1,-0.126,-0.034375,2021-06-21 23:39:20.021539,0.0,,
1,-0.126,-0.039140625,2021-06-21 23:39:20.083022,0.0,,
1,-0.129,-0.043125,2021-06-21 23:39:20.133887,0.0,,
1,-0.13,-0.048984375,2021-06-21 23:39:20.206093,0.0,,
1,-0.134,-0.053984375,2021-06-21 23:39:20.269912,0.0,,
1,-7.09,-0.06515625,2021-06-21 23:39:20.415081,0.0,,
1,-0.139,-0.07015625,2021-06-21 23:39:20.477929,0.0,,
1,-0.141,-0.073515625,2021-06-21 23:39:20.520958,0.0,,
1,-0.147,-0.079140625,2021-06-21 23:39:20.593020,0.0,,
1,-0.145,-0.08484375,2021-06-21 23:39:20.665187,0.0,,
1,-0.151,-0.08890625,2021-06-21 23:39:20.718007,0.0,,
1,-0.153,-0.093828125,2021-06-21 23:39:20.781821,0.0,,
1,-0.151,-0.0990625,2021-06-21 23:39:20.848538,0.0,,
1,-0.158,-0.1034375,2021-06-21 23:39:20.902757,0.0,,
1,-0.159,-0.109140625,2021-06-21 23:39:20.977914,0.0,,
1,-7.228,-0.111953125,2021-06-21 23:39:21.012651,0.0,,
1,-0.153,-0.1153125,2021-06-21 23:39:21.055246,0.0,,
1,-7.105,-0.1275,2021-06-21 23:39:21.211750,0.0,,
1,-0.161,-0.131875,2021-06-21 23:39:21.267199,0.0,,
1,-0.166,-0.1359375,2021-06-21 23:39:21.319458,0.0,,
1,-0.167,-0.1403125,2021-06-21 23:39:21.375387,0.0,,
1,-0.167,-0.14359375,2021-06-21 23:39:21.417838,0.0,,
1,-0.168,-0.146953125,2021-06-21 23:39:21.464005,0.0,,
1,-0.17,-0.152890625,2021-06-21 23:39:21.535700,0.0,,
