data_set,load_kg,position_mm,timestamp,mass_g,pressure_kpa,density
1,0.01,0.0,2021-07-13 21:22:15.320093,0.0,,
1,0.009,0.0,2021-07-13 21:22:15.382662,0.0,,
1,0.005,0.0,2021-07-13 21:22:15.444967,0.0,,
1,0.004,0.0,2021-07-13 21:22:15.508922,0.0,,
1,0.006,0.0,2021-07-13 21:22:15.560989,0.0,,
1,0.007,0.0,2021-07-13 21:22:15.623333,0.0,,
1,0.008,0.0,2021-07-13 21:22:15.676015,0.0,,
1,0.007,0.0,2021-07-13 21:22:15.739039,0.0,,
1,0.012,0.0,2021-07-13 21:22:15.791818,0.0,,
1,0.006,0.0,2021-07-13 21:22:15.857830,0.0,,
1,0.008,0.0,2021-07-13 21:22:15.909426,0.0,,
1,0.008,0.0,2021-07-13 21:22:15.971075,0.0,,
1,0.008,0.0,2021-07-13 21:22:16.023707,0.0,,
1,0.007,0.0,2021-07-13 21:22:16.076605,0.0,,
1,0.007,0.0,2021-07-13 21:22:16.129674,0.0,,
1,0.007,0.0,2021-07-13 21:22:16.196126,0.0,,
1,0.007,0.0,2021-07-13 21:22:16.246797,0.0,,
1,0.006,0.0,2021-07-13 21:22:16.309638,0.0,,
1,0.007,0.0,2021-07-13 21:22:16.362322,0.0,,
1,0.01,0.0,2021-07-13 21:22:16.434465,0.0,,
1,0.01,0.0,2021-07-13 21:22:16.466924,0.0,,
1,0.014,0.0,2021-07-13 21:22:16.528497,0.0,,
1,0.01,0.0,2021-07-13 21:22:16.590279,0.0,,
1,0.011,0.0,2021-07-13 21:22:16.641988,0.0,,
1,0.012,0.0,2021-07-13 21:22:16.703936,0.0,,
1,0.012,0.0,2021-07-13 21:22:16.765864,0.0,,
1,0.01,0.0,2021-07-13 21:22:16.829610,0.0,,
1,0.007,0.0,2021-07-13 21:22:16.881207,0.0,,
1,0.009,0.0,2021-07-13 21:22:16.942259,0.0,,
1,0.006,0.0,2021-07-13 21:22:16.992772,0.0,,
1,0.009,0.0,2021-07-13 21:22:17.054559,0.0,,
1,0.01,0.0,2021-07-13 21:22:17.115710,0.0,,
1,0.011,0.0,2021-07-13 21:22:17.167364,0.0,,
1,0.011,0.0,2021-07-13 21:22:17.230358,0.0,,
1,0.008,0.0,2021-07-13 21:22:17.293226,0.0,,
1,0.012,0.0,2021-07-13 21:22:17.345811,0.0,,
1,0.013,0.0,2021-07-13 21:22:17.419246,0.0,,
1,0.01,0.0,2021-07-13 21:22:17.473777,0.0,,
1,0.013,0.0,2021-07-13 21:22:17.535949,0.0,,
1,0.01,0.0,2021-07-13 21:22:17.587328,0.0,,
1,0.011,0.0,2021-07-13 21:22:17.649479,0.0,,
1,0.009,0.0,2021-07-13 21:22:17.691549,0.0,,
1,0.007,0.0,2021-07-13 21:22:17.754010,0.0,,
1,0.011,0.0,2021-07-13 21:22:17.816788,0.0,,
1,0.01,0.0,2021-07-13 21:22:17.879719,0.0,,
1,0.008,0.0,2021-07-13 21:22:17.945231,0.0,,
1,0.015,0.0,2021-07-13 21:22:17.995708,0.0,,
1,0.011,0.0,2021-07-13 21:22:18.058396,0.0,,
1,0.015,0.0,2021-07-13 21:22:18.120648,0.0,,
1,0.013,0.0,2021-07-13 21:22:18.172700,0.0,,
1,0.018,0.0,2021-07-13 21:22:18.225920,0.0,,
1,0.012,0.0,2021-07-13 21:22:18.280710,0.0,,
1,0.012,0.0,2021-07-13 21:22:18.342089,0.0,,
1,0.012,0.0,2021-07-13 21:22:18.404469,0.0,,
1,0.009,0.0,2021-07-13 21:22:18.467190,0.0,,
1,0.005,0.0,2021-07-13 21:22:18.519863,0.0,,
1,0.006,0.0,2021-07-13 21:22:18.582692,0.0,,
1,0.008,0.0,2021-07-13 21:22:18.653512,0.0,,
1,0.005,0.0,2021-07-13 21:22:18.701503,0.0,,
1,0.007,0.0,2021-07-13 21:22:18.762036,0.0,,
1,0.005,0.0,2021-07-13 21:22:18.814259,0.0,,
1,0.003,0.0,2021-07-13 21:22:18.877939,0.0,,
1,0.004,0.0,2021-07-13 21:22:18.931296,0.0,,
1,0.008,0.0,2021-07-13 21:22:19.009296,0.0,,
1,0.0,0.0,2021-07-13 21:22:19.050198,0.0,,
1,0.006,0.0,2021-07-13 21:22:19.111294,0.0,,
1,0.01,0.0,2021-07-13 21:22:19.164231,0.0,,
1,0.006,0.0,2021-07-13 21:22:19.227389,0.0,,
1,0.002,0.0,2021-07-13 21:22:19.350398,0.0,,
1,0.004,0.0,2021-07-13 21:22:19.463775,0.0,,
1,0.004,0.0,2021-07-13 21:22:19.516587,0.0,,
1,0.003,0.0,2021-07-13 21:22:19.562266,0.0,,
1,0.008,0.0,2021-07-13 21:22:19.633454,0.0,,
1,0.004,0.0,2021-07-13 21:22:19.685774,0.0,,
1,0.0,0.0,2021-07-13 21:22:19.747987,0.0,,
1,0.002,0.0,2021-07-13 21:22:19.800481,0.0,,
1,0.004,0.0,2021-07-13 21:22:19.863304,0.0,,
1,0.003,0.0,2021-07-13 21:22:19.935696,0.0,,
1,0.002,0.0,2021-07-13 21:22:19.988033,0.0,,
1,0.005,0.0,2021-07-13 21:22:20.053684,0.0,,
1,0.006,0.0,2021-07-13 21:22:20.125899,0.0,,
1,0.005,0.0,2021-07-13 21:22:20.176540,0.0,,
1,0.004,0.0,2021-07-13 21:22:20.239038,0.0,,
1,0.002,0.0,2021-07-13 21:22:20.383647,0.0,,
1,0.004,0.0,2021-07-13 21:22:20.446656,0.0,,
1,0.0,0.0,2021-07-13 21:22:20.499345,0.0,,
1,-0.001,0.0,2021-07-13 21:22:20.653292,0.0,,
1,-0.001,0.0,2021-07-13 21:22:20.706384,0.0,,
1,-0.001,0.0,2021-07-13 21:22:20.760465,0.0,,
1,-0.001,0.0,2021-07-13 21:22:20.812198,0.0,,
1,0.001,0.0,2021-07-13 21:22:20.875145,0.0,,
1,-0.003,0.0,2021-07-13 21:22:20.927399,0.0,,
1,-0.003,0.0,2021-07-13 21:22:20.991345,0.0,,
1,-0.002,0.0,2021-07-13 21:22:21.044150,0.0,,
1,0.001,0.0,2021-07-13 21:22:21.252354,0.0,,
1,-0.003,0.0,2021-07-13 21:22:21.312029,0.0,,
