data_set,force,position,timestamp
1,1.653,33.9,2021-05-14 00:46:58.228428
1,1.658,33.9,2021-05-14 00:46:58.290191
1,1.657,33.9,2021-05-14 00:46:58.342151
1,1.656,33.9,2021-05-14 00:46:58.406421
1,1.656,33.9,2021-05-14 00:46:58.477235
1,1.657,33.9,2021-05-14 00:46:58.539261
1,1.662,33.9,2021-05-14 00:46:58.601194
1,1.661,33.9,2021-05-14 00:46:58.662761
1,1.658,33.9,2021-05-14 00:46:58.714376
1,1.655,33.9,2021-05-14 00:46:58.776458
1,1.659,33.9,2021-05-14 00:46:58.838936
1,1.657,33.9,2021-05-14 00:46:58.889868
1,1.656,33.9,2021-05-14 00:46:58.951376
1,1.658,33.9,2021-05-14 00:46:59.013088
1,1.655,33.9,2021-05-14 00:46:59.064479
1,1.65,33.9,2021-05-14 00:46:59.125929
1,1.655,33.9,2021-05-14 00:46:59.191263
1,1.652,33.9,2021-05-14 00:46:59.345398
1,1.652,33.9,2021-05-14 00:46:59.459712
1,1.658,33.9,2021-05-14 00:46:59.623006
1,1.657,33.9,2021-05-14 00:46:59.684668
1,1.653,33.9,2021-05-14 00:46:59.736193
1,1.653,33.9,2021-05-14 00:46:59.798107
1,1.655,33.9,2021-05-14 00:46:59.961637
1,1.657,33.9,2021-05-14 00:47:00.014959
1,1.652,33.9,2021-05-14 00:47:00.076188
1,1.653,33.9,2021-05-14 00:47:00.427863
1,1.655,33.9,2021-05-14 00:47:00.581503
1,1.66,33.9,2021-05-14 00:47:00.745239
1,1.66,33.9,2021-05-14 00:47:00.797703
1,1.657,33.9,2021-05-14 00:47:00.860173
1,1.651,33.9,2021-05-14 00:47:00.923167
1,1.653,33.9,2021-05-14 00:47:00.974768
1,1.652,33.9,2021-05-14 00:47:01.036929
1,1.653,33.9,2021-05-14 00:47:01.089032
1,1.654,33.9,2021-05-14 00:47:01.252772
1,1.655,33.9,2021-05-14 00:47:01.315483
1,1.652,33.9,2021-05-14 00:47:01.367623
1,1.655,33.9,2021-05-14 00:47:01.430995
1,1.653,33.9,2021-05-14 00:47:01.483294
1,1.656,33.9,2021-05-14 00:47:01.555726
1,1.652,33.9,2021-05-14 00:47:01.608020
1,1.652,33.9,2021-05-14 00:47:01.660747
1,1.656,33.9,2021-05-14 00:47:01.722687
1,1.655,33.9,2021-05-14 00:47:01.785029
1,1.655,33.9,2021-05-14 00:47:01.848598
1,1.655,33.9,2021-05-14 00:47:01.910810
1,1.657,33.9,2021-05-14 00:47:01.963502
1,1.661,33.9,2021-05-14 00:47:02.025945
1,1.654,33.9,2021-05-14 00:47:02.326361
1,1.656,33.9,2021-05-14 00:47:02.580535
1,1.656,34.4,2021-05-14 00:47:03.073992
1,1.656,34.4,2021-05-14 00:47:03.075428
1,1.655,34.4,2021-05-14 00:47:03.077338
1,1.654,34.4,2021-05-14 00:47:03.078144
1,1.654,34.4,2021-05-14 00:47:03.079765
1,1.652,34.4,2021-05-14 00:47:03.080691
1,1.654,34.4,2021-05-14 00:47:03.081780
1,1.653,34.4,2021-05-14 00:47:03.083199
1,1.652,34.4,2021-05-14 00:47:03.084108
1,1.651,34.4,2021-05-14 00:47:03.084893
1,1.652,34.4,2021-05-14 00:47:03.086039
1,1.652,34.4,2021-05-14 00:47:03.086948
1,1.653,34.4,2021-05-14 00:47:03.087875
1,1.652,34.4,2021-05-14 00:47:03.089066
1,1.655,34.4,2021-05-14 00:47:03.852392
1,1.656,34.4,2021-05-14 00:47:04.094208
1,1.653,34.3,2021-05-14 00:47:04.155850
1,1.654,34.3,2021-05-14 00:47:04.157538
1,1.651,34.3,2021-05-14 00:47:04.158262
