force,position,ts
1.536,51200.0,2021-05-04 04:10:36.454317
1.526,51200.0,2021-05-04 04:10:36.616495
1.526,51200.0,2021-05-04 04:10:36.678019
1.53,51200.0,2021-05-04 04:10:36.729647
1.529,51200.0,2021-05-04 04:10:36.791199
1.529,51200.0,2021-05-04 04:10:36.853032
1.527,51200.0,2021-05-04 04:10:36.904079
1.528,51200.0,2021-05-04 04:10:36.966221
1.53,51200.0,2021-05-04 04:10:37.028012
1.529,51200.0,2021-05-04 04:10:37.079939
1.528,51200.0,2021-05-04 04:10:37.141347
1.529,51200.0,2021-05-04 04:10:37.194361
1.53,51200.0,2021-05-04 04:10:37.316470
1.531,51200.0,2021-05-04 04:10:37.378459
1.529,51200.0,2021-05-04 04:10:37.439799
1.527,51200.0,2021-05-04 04:10:37.491669
1.533,51200.0,2021-05-04 04:10:37.543799
1.53,51200.0,2021-05-04 04:10:37.595669
1.53,51200.0,2021-05-04 04:10:37.657400
1.533,51200.0,2021-05-04 04:10:37.719555
1.529,51200.0,2021-05-04 04:10:37.770852
1.532,51200.0,2021-05-04 04:10:37.832328
1.531,51200.0,2021-05-04 04:10:37.894994
1.527,51200.0,2021-05-04 04:10:37.946355
1.526,51200.0,2021-05-04 04:10:38.008851
1.528,51200.0,2021-05-04 04:10:38.061199
1.526,51200.0,2021-05-04 04:10:38.123752
1.525,51200.0,2021-05-04 04:10:38.176026
1.527,51200.0,2021-05-04 04:10:38.237950
1.531,51200.0,2021-05-04 04:10:38.300506
1.529,51200.0,2021-05-04 04:10:38.352874
1.529,51200.0,2021-05-04 04:10:38.415653
1.528,51200.0,2021-05-04 04:10:38.468238
1.53,51200.0,2021-05-04 04:10:38.530707
1.535,51200.0,2021-05-04 04:10:38.694025
1.529,51200.0,2021-05-04 04:10:38.746649
