data_set,force,position,timestamp
1,1.657,32.4,2021-05-14 00:43:48.414243
1,1.659,32.4,2021-05-14 00:43:48.475933
1,1.658,32.4,2021-05-14 00:43:48.528620
1,1.659,32.4,2021-05-14 00:43:48.591941
1,1.659,32.4,2021-05-14 00:43:48.643894
1,1.656,32.4,2021-05-14 00:43:48.705506
1,1.658,32.4,2021-05-14 00:43:48.767117
1,1.659,32.4,2021-05-14 00:43:48.818778
1,1.659,32.4,2021-05-14 00:43:48.880413
1,1.658,32.4,2021-05-14 00:43:48.942107
1,1.659,32.4,2021-05-14 00:43:48.993790
1,1.658,32.4,2021-05-14 00:43:49.158214
1,1.655,32.4,2021-05-14 00:43:49.219732
1,1.655,32.4,2021-05-14 00:43:49.271632
1,1.655,32.4,2021-05-14 00:43:49.335067
1,1.658,32.4,2021-05-14 00:43:49.388062
1,1.657,32.4,2021-05-14 00:43:49.441500
1,1.666,32.4,2021-05-14 00:43:49.483273
1,1.658,32.4,2021-05-14 00:43:49.641827
1,1.654,32.4,2021-05-14 00:43:49.713827
1,1.654,32.4,2021-05-14 00:43:49.775692
1,1.654,32.4,2021-05-14 00:43:49.827799
1,1.654,32.4,2021-05-14 00:43:49.889731
1,1.656,32.4,2021-05-14 00:43:49.951603
1,1.652,32.4,2021-05-14 00:43:50.003286
1,1.654,32.4,2021-05-14 00:43:50.065247
1,1.655,32.4,2021-05-14 00:43:50.136853
1,1.657,32.4,2021-05-14 00:43:50.188273
1,1.654,32.4,2021-05-14 00:43:50.249813
1,1.651,32.4,2021-05-14 00:43:50.311381
1,1.656,32.4,2021-05-14 00:43:50.364632
1,1.659,32.4,2021-05-14 00:43:50.428630
1,1.656,32.4,2021-05-14 00:43:50.480368
1,1.656,32.4,2021-05-14 00:43:50.543303
1,1.654,32.4,2021-05-14 00:43:50.597020
1,1.654,32.4,2021-05-14 00:43:50.834097
1,1.661,32.4,2021-05-14 00:43:50.886663
1,1.66,32.4,2021-05-14 00:43:51.110435
1,1.655,32.4,2021-05-14 00:43:51.269831
1,1.653,32.9,2021-05-14 00:43:51.365863
1,1.653,32.9,2021-05-14 00:43:51.368019
1,1.654,32.9,2021-05-14 00:43:51.369147
1,1.651,32.9,2021-05-14 00:43:51.370708
1,1.654,32.9,2021-05-14 00:43:51.371654
1,1.655,32.9,2021-05-14 00:43:51.394390
1,1.652,32.9,2021-05-14 00:43:51.557112
1,1.655,32.9,2021-05-14 00:43:51.618752
1,1.655,32.9,2021-05-14 00:43:51.670372
1,1.652,32.8,2021-05-14 00:43:52.610966
1,1.653,32.8,2021-05-14 00:43:52.611437
1,1.658,32.8,2021-05-14 00:43:52.611957
1,1.653,32.8,2021-05-14 00:43:52.612618
1,1.654,32.8,2021-05-14 00:43:52.613937
1,1.654,32.8,2021-05-14 00:43:52.614685
1,1.655,32.8,2021-05-14 00:43:52.615209
1,1.657,32.8,2021-05-14 00:43:52.616758
1,1.654,32.8,2021-05-14 00:43:52.618139
1,1.656,32.8,2021-05-14 00:43:52.619982
1,1.654,32.9,2021-05-14 00:43:52.745796
1,1.654,32.9,2021-05-14 00:43:52.974475
1,1.656,32.7,2021-05-14 00:43:53.148746
1,1.656,32.7,2021-05-14 00:43:53.149961
1,1.654,32.7,2021-05-14 00:43:53.151794
1,1.656,32.7,2021-05-14 00:43:53.153627
1,1.655,32.7,2021-05-14 00:43:53.158424
1,1.654,32.7,2021-05-14 00:43:53.159840
1,1.656,32.7,2021-05-14 00:43:53.161460
1,1.656,32.7,2021-05-14 00:43:53.163057
1,1.656,32.7,2021-05-14 00:43:53.432559
1,1.653,32.7,2021-05-14 00:43:53.708407
1,1.653,32.6,2021-05-14 00:43:53.798972
1,1.654,32.6,2021-05-14 00:43:53.800219
1,1.657,32.6,2021-05-14 00:43:53.801184
1,1.655,32.6,2021-05-14 00:43:53.803170
1,1.653,32.6,2021-05-14 00:43:53.804291
1,1.655,32.6,2021-05-14 00:43:53.805855
1,1.658,32.6,2021-05-14 00:43:53.806641
1,1.658,32.6,2021-05-14 00:43:53.808514
1,1.656,32.6,2021-05-14 00:43:53.809296
1,1.652,32.6,2021-05-14 00:43:54.452821
1,1.647,32.5,2021-05-14 00:43:54.453666
1,1.652,32.5,2021-05-14 00:43:54.454373
1,1.651,32.5,2021-05-14 00:43:54.455841
1,1.65,32.5,2021-05-14 00:43:54.456584
1,1.653,32.5,2021-05-14 00:43:54.457355
1,1.657,32.5,2021-05-14 00:43:54.459246
1,1.66,32.5,2021-05-14 00:43:54.460038
1,1.656,32.5,2021-05-14 00:43:54.461330
1,1.654,32.5,2021-05-14 00:43:54.588305
1,1.653,32.4,2021-05-14 00:43:55.311297
1,1.654,32.4,2021-05-14 00:43:55.312006
1,1.651,32.4,2021-05-14 00:43:55.314075
1,1.65,32.4,2021-05-14 00:43:55.315939
1,1.65,32.4,2021-05-14 00:43:55.317556
1,1.654,32.4,2021-05-14 00:43:55.319654
1,1.652,32.4,2021-05-14 00:43:55.321690
1,1.649,32.4,2021-05-14 00:43:55.323002
1,1.648,32.4,2021-05-14 00:43:55.324937
1,1.652,32.4,2021-05-14 00:43:55.326927
1,1.657,32.5,2021-05-14 00:43:55.379435
1,1.651,32.5,2021-05-14 00:43:55.753870
1,1.65,32.795390625,2021-05-14 00:43:55.922120
1,1.651,32.9,2021-05-14 00:43:55.922791
1,1.65,32.9,2021-05-14 00:43:55.924684
1,1.652,32.9,2021-05-14 00:43:55.925607
1,1.651,32.9,2021-05-14 00:43:55.926568
1,1.651,32.9,2021-05-14 00:43:55.927894
1,1.65,32.9,2021-05-14 00:43:55.928763
1,1.653,32.9,2021-05-14 00:43:55.930869
1,1.656,32.9,2021-05-14 00:43:55.932425
1,1.652,32.9,2021-05-14 00:43:55.962930
1,1.65,32.9,2021-05-14 00:43:56.014392
1,1.651,32.9,2021-05-14 00:43:56.296498
1,1.654,32.9,2021-05-14 00:43:56.574518
1,1.654,33.351640625,2021-05-14 00:43:56.680594
1,1.656,33.4,2021-05-14 00:43:56.683878
1,1.655,33.4,2021-05-14 00:43:56.686554
1,1.651,33.4,2021-05-14 00:43:56.688889
1,1.648,33.4,2021-05-14 00:43:56.690209
1,1.651,33.4,2021-05-14 00:43:56.693055
1,1.651,33.4,2021-05-14 00:43:56.753645
1,1.654,33.4,2021-05-14 00:43:56.805039
1,1.655,33.4,2021-05-14 00:43:57.114142
1,1.653,33.4,2021-05-14 00:43:57.395325
1,1.651,33.87046875,2021-05-14 00:43:57.450096
1,1.654,33.9,2021-05-14 00:43:57.451051
1,1.654,33.9,2021-05-14 00:43:57.452725
1,1.653,33.9,2021-05-14 00:43:57.454337
1,1.653,33.9,2021-05-14 00:43:57.455666
1,1.656,33.9,2021-05-14 00:43:57.456624
1,1.653,33.9,2021-05-14 00:43:57.458167
1,1.655,33.9,2021-05-14 00:43:57.459576
1,1.653,33.9,2021-05-14 00:43:57.549817
1,1.654,33.9,2021-05-14 00:43:57.611407
1,1.655,33.9,2021-05-14 00:43:57.861990
1,1.656,33.9,2021-05-14 00:43:58.184563
1,1.653,33.8,2021-05-14 00:43:58.337868
1,1.653,33.8,2021-05-14 00:43:58.343988
1,1.655,33.8,2021-05-14 00:43:58.344713
1,1.65,33.8,2021-05-14 00:43:58.346951
1,1.648,33.8,2021-05-14 00:43:58.348677
1,1.654,33.8,2021-05-14 00:43:58.580855
1,1.655,33.8,2021-05-14 00:43:58.921505
1,1.655,33.7,2021-05-14 00:43:59.090660
1,1.654,33.7,2021-05-14 00:43:59.091836
1,1.653,33.7,2021-05-14 00:43:59.094210
1,1.648,33.7,2021-05-14 00:43:59.095927
1,1.654,33.7,2021-05-14 00:43:59.097294
1,1.672,33.7,2021-05-14 00:43:59.100493
1,1.652,33.7,2021-05-14 00:43:59.103336
1,1.649,33.7,2021-05-14 00:43:59.227608
1,1.651,33.7,2021-05-14 00:43:59.499120
1,1.652,33.7,2021-05-14 00:43:59.792547
1,1.65,33.6,2021-05-14 00:43:59.798329
1,1.651,33.6,2021-05-14 00:43:59.803284
1,1.648,33.6,2021-05-14 00:43:59.804493
1,1.652,33.6,2021-05-14 00:43:59.806483
1,1.647,33.6,2021-05-14 00:43:59.808461
1,1.654,33.6,2021-05-14 00:43:59.811414
1,1.651,33.6,2021-05-14 00:44:00.028503
1,1.654,33.6,2021-05-14 00:44:00.269773
1,1.653,33.5,2021-05-14 00:44:00.499572
1,1.652,33.5,2021-05-14 00:44:00.502300
1,1.65,33.5,2021-05-14 00:44:00.504475
1,1.65,33.5,2021-05-14 00:44:00.505761
1,1.646,33.5,2021-05-14 00:44:00.508142
1,1.648,33.5,2021-05-14 00:44:00.510363
1,1.648,33.5,2021-05-14 00:44:00.511253
1,1.648,33.5,2021-05-14 00:44:00.920119
1,1.65,33.5,2021-05-14 00:44:01.173605
1,1.649,33.4,2021-05-14 00:44:01.220085
1,1.649,33.4,2021-05-14 00:44:01.221024
1,1.647,33.4,2021-05-14 00:44:01.222495
1,1.65,33.4,2021-05-14 00:44:01.223753
1,1.649,33.4,2021-05-14 00:44:01.224470
1,1.651,33.4,2021-05-14 00:44:01.225506
1,1.65,33.4,2021-05-14 00:44:01.227008
1,1.649,33.4,2021-05-14 00:44:01.227774
1,1.648,33.4,2021-05-14 00:44:01.229288
1,1.65,33.4,2021-05-14 00:44:01.230640
1,1.65,33.4,2021-05-14 00:44:01.628549
1,1.651,33.4,2021-05-14 00:44:02.001978
1,1.648,33.844609375,2021-05-14 00:44:02.161007
1,1.649,33.9,2021-05-14 00:44:02.163262
1,1.65,33.9,2021-05-14 00:44:02.164892
1,1.65,33.9,2021-05-14 00:44:02.166445
1,1.649,33.9,2021-05-14 00:44:02.168773
1,1.649,33.9,2021-05-14 00:44:02.171582
1,1.652,33.9,2021-05-14 00:44:02.172880
1,1.653,33.9,2021-05-14 00:44:02.174435
1,1.65,33.9,2021-05-14 00:44:02.176585
1,1.652,33.9,2021-05-14 00:44:02.191798
1,1.651,33.9,2021-05-14 00:44:02.242769
1,1.648,33.9,2021-05-14 00:44:02.399007
1,1.648,33.9,2021-05-14 00:44:02.460855
1,1.649,33.9,2021-05-14 00:44:02.512814
1,1.647,33.9,2021-05-14 00:44:02.574160
1,1.647,33.9,2021-05-14 00:44:02.635708
1,1.649,33.9,2021-05-14 00:44:02.688689
1,1.652,33.9,2021-05-14 00:44:02.750255
1,1.647,33.9,2021-05-14 00:44:02.811848
1,1.649,33.9,2021-05-14 00:44:02.863656
1,1.651,33.9,2021-05-14 00:44:02.925517
1,1.647,33.9,2021-05-14 00:44:02.987134
1,1.649,33.9,2021-05-14 00:44:03.039642
1,1.648,33.9,2021-05-14 00:44:03.163126
1,1.649,33.9,2021-05-14 00:44:03.215128
1,1.653,33.9,2021-05-14 00:44:03.277089
1,1.652,33.9,2021-05-14 00:44:03.329308
